Delegacia,Número/Ano,Natureza,Data do Fato,Data do Registro
DEL.POL.JUQUIA,BE0141-1/2024,"Incêndio (art. 250, caput)",24/01/2024,25/01/2024
03º D.P. DIADEMA,KL2779-1/2024,"Furto (art. 155), Incêndio (art. 250, caput)",08/04/2024,01/08/2024
DELEGACIA ELETRONICA 3,JC8135-1/2024,"Incêndio (art. 250, caput)",20/06/2024,04/07/2024
DEL.POL.MIRACATU,CL6606-1/2024,"Incêndio (art. 250, caput)",21/02/2024,21/02/2024
01º D.P. MONGAGUA,LM4130-1/2024,"Furto (art. 155), Incêndio (art. 250, caput)",17/08/2024,22/08/2024
DEL.POL.MONGAGUA,IS4286-1/2024,"Incêndio (art. 250, caput)",25/06/2024,25/06/2024
DEL.POL.MONGAGUA,HZ6624-1/2024,"Furto (art. 155), Incêndio (art. 250, caput)",10/06/2024,11/06/2024
DEL.POL.MONGAGUA,HM3041-1/2024,"Furto (art. 155), Incêndio (art. 250, caput)",01/06/2024,01/06/2024
DEL.POL.MONGAGUA,HL4639-1/2024,"Incêndio (art. 250, caput)",30/05/2024,31/05/2024
DEL.POL.MONGAGUA,HF2141-1/2024,"Incêndio (art. 250, caput)",26/05/2024,27/05/2024
DEL.POL.MONGAGUA,DH8215-1/2024,"Incêndio (art. 250, caput)",08/03/2024,08/03/2024
01º D.P. MONGAGUA,BY1495-1/2024,"Incêndio (art. 250, caput)",09/02/2024,09/02/2024
01º D.P. MONGAGUA,AZ6484-1/2024,"Incêndio (art. 250, caput)",20/01/2024,22/01/2024
DEL.POL.MONGAGUA,AJ0894-1/2024,"Incêndio (art. 250, caput)",08/01/2024,08/01/2024
DEL.POL.MONGAGUA,AG5112-1/2024,"Incêndio (art. 250, caput)",03/01/2024,06/01/2024
DEL.POL.MONGAGUA,AA9119-1/2024,"Incêndio (art. 250, caput)",29/12/2023,02/01/2024
DEL.POL.PERUIBE,KT1136-3/2024,"Dano (art. 163), Lesão corporal (art. 129), Incêndio (art. 250, caput)",07/08/2024,09/08/2024
DELEGACIA ELETRONICA 3,JE5767-1/2024,"Incêndio (art. 250, caput)",30/06/2024,05/07/2024
01º D.P. PERUIBE,EV1166-1/2024,"Incêndio (art. 250, caput)",07/04/2024,08/04/2024
DEL.POL.PERUIBE,CV4789-1/2024,"Violência Doméstica, Injúria (art. 140), Descumprimento de medida protetiva de urgência (art. 24-A), Incêndio (art. 250, caput)",27/02/2024,27/02/2024
CPJ Praia Grande,KW1890-1/2024,"Incêndio (art. 250, caput)",10/08/2024,10/08/2024
01º D.P. PRAIA GRANDE-VL. TUPI,KJ5759-1/2024,"Incêndio (art. 250, caput), Localização/Apreensão e Entrega de veículo",31/07/2024,31/07/2024
03º D.P. PRAIA GRANDE-CAIÇARA,KI1101-1/2024,"Incêndio (art. 250, caput)",29/07/2024,30/07/2024
03º D.P. PRAIA GRANDE-CAIÇARA,JZ4104-1/2024,"Incêndio (art. 250, caput)",22/07/2024,23/07/2024
CPJ Praia Grande,JF7257-1/2024,"Incêndio (art. 250, caput)",06/07/2024,06/07/2024
DELEGACIA ELETRONICA 3,IQ3560-2/2024,"Incêndio (art. 250, caput)",21/06/2024,02/07/2024
CPJ Praia Grande,IX9031-1/2024,"Incêndio (art. 250, caput)",01/07/2024,01/07/2024
CPJ Praia Grande,IX1302-1/2024,"Incêndio (art. 250, caput)",29/06/2024,29/06/2024
CPJ Praia Grande,IP5915-1/2024,"Incêndio (art. 250, caput)",24/06/2024,24/06/2024
DDM PRAIA GRANDE,IL4837-1/2024,"Art. 215A - Importunação Sexual, Incêndio (art. 250, caput), Ameaça (art. 147)",21/01/2024,20/06/2024
03º D.P. PRAIA GRANDE-CAIÇARA,GR2516-1/2024,"Incêndio (art. 250, caput)",13/05/2024,15/05/2024
DELEGACIA ELETRONICA 3,GM1876-1/2024,"Incêndio (art. 250, caput)",09/05/2024,10/05/2024
CPJ Praia Grande,GG3390-2/2024,"Incêndio (art. 250, caput)",07/05/2024,09/05/2024
CPJ Praia Grande,GD5598-1/2024,"Incêndio (art. 250, caput)",03/05/2024,03/05/2024
DEL.SEC.BAURU PLANTÃO,CB6680-6/2024,"Homicídio (art. 121), Disparo de arma de fogo (Art. 15), Incêndio (art. 250, caput)",13/02/2024,18/03/2024
CPJ Praia Grande,DS7857-1/2024,"Incêndio (art. 250, caput)",16/03/2024,16/03/2024
01º D.P. PRAIA GRANDE-VL. TUPI,CC8404-3/2024,"Incêndio (art. 250, caput), Dano (art. 163), Ameaça (art. 147)",10/02/2024,15/02/2024
CPJ Praia Grande,CA7806-1/2024,"Incêndio (art. 250, caput)",12/02/2024,12/02/2024
CPJ Praia Grande,BS6267-2/2024,"Incêndio (art. 250, caput), Comunicação de óbito",05/02/2024,07/02/2024
CPJ Praia Grande,AY5744-1/2024,"Incêndio (art. 250, caput)",20/01/2024,21/01/2024
03º D.P. PRAIA GRANDE-CAIÇARA,AW1056-1/2024,"Furto (art. 155), Incêndio (art. 250, caput)",18/01/2024,18/01/2024
DELEGACIA ELETRONICA 3,AI8754-1/2024,"Incêndio (art. 250, caput)",06/01/2024,08/01/2024
01º D.P. PRAIA GRANDE-VL. TUPI,AC4983-2/2024,"Incêndio (art. 250, caput)",03/01/2024,04/01/2024
03º D.P. PRAIA GRANDE-CAIÇARA,AB7399-1/2024,"Incêndio (art. 250, caput)",02/01/2024,02/01/2024
DELEGACIA ELETRONICA 3,LG9622-1/2024,"Incêndio (art. 250, caput)",16/08/2024,19/08/2024
DEL.SEC.REGISTRO PLANTÃO,KN9560-1/2024,"Morte suspeita, Incêndio (art. 250, caput)",01/08/2024,04/08/2024
DEL.SEC.REGISTRO PLANTÃO,JO3977-1/2024,"Dano (art. 163), Incêndio (art. 250, caput), Associação Criminosa (art. 288)",14/07/2024,15/07/2024
DEL.SEC.REGISTRO PLANTÃO,IN7037-1/2024,"Incêndio (art. 250, caput)",21/06/2024,21/06/2024
01º D.P. REGISTRO,IF7507-1/2024,"Incêndio (art. 250, caput)",15/06/2024,17/06/2024
DEL.SEC.REGISTRO PLANTÃO,GM4222-1/2024,"Incêndio (art. 250, caput)",10/05/2024,10/05/2024
01º D.P. REGISTRO,GH1625-1/2024,"Incêndio (art. 250, caput)",07/05/2024,07/05/2024
01º D.P. REGISTRO,EW7637-1/2024,"Incêndio (art. 250, caput)",09/04/2024,09/04/2024
DEL.SEC.REGISTRO PLANTÃO,EO9687-1/2024,"Incêndio (art. 250, caput)",03/04/2024,03/04/2024
02º D.P. REGISTRO,BK6875-1/2024,"Incêndio (art. 250, caput)",29/01/2024,30/01/2024
CPJ SANTOS,LA3420-1/2024,"Incêndio (art. 250, caput)",13/08/2024,13/08/2024
07º D.P. SANTOS,KZ9125-1/2024,"Incêndio (art. 250, caput)",13/08/2024,13/08/2024
01º D.P. SANTOS,IW6151-1/2024,"Incêndio (art. 250, caput)",28/06/2024,28/06/2024
CPJ SANTOS,IE4412-1/2024,"Incêndio (art. 250, caput)",14/06/2024,14/06/2024
CPJ SANTOS,HZ9088-1/2024,"Incêndio (art. 250, caput)",12/06/2024,12/06/2024
DELEGACIA ELETRONICA 3,HZ0710-1/2024,"Incêndio (art. 250, caput)",11/06/2024,11/06/2024
05º D.P. SANTOS,HY7297-1/2024,"Incêndio (art. 250, caput)",11/06/2024,11/06/2024
DELEGACIA ELETRONICA 3,HU2665-1/2024,"Incêndio (art. 250, caput)",01/05/2024,07/06/2024
CPJ SANTOS,HR9018-1/2024,"Incêndio (art. 250, caput), Drogas para consumo pessoal sem autorização ou em desacordo (Art.28,caput)",06/06/2024,06/06/2024
CPJ SANTOS,GO9498-1/2024,"Incêndio (art. 250, caput)",13/05/2024,13/05/2024
CPJ SANTOS,GB9454-1/2024,"Incêndio (art. 250, caput)",02/05/2024,02/05/2024
CPJ SANTOS,FZ6935-1/2024,"Incêndio (art. 250, caput), Lesão corporal (art. 129)",01/05/2024,01/05/2024
04º D.P. SANTOS,FY3784-1/2024,"Incêndio (art. 250, caput)",30/04/2024,30/04/2024
01º D.P. SANTOS,FQ6463-2/2024,"Incêndio (art. 250, caput)",24/04/2024,26/04/2024
07º D.P. SANTOS,FR3105-1/2024,"Incêndio (art. 250, caput)",22/04/2024,24/04/2024
CPJ SANTOS,EW5206-1/2024,"Incêndio (art. 250, caput)",09/04/2024,09/04/2024
CPJ SANTOS,EL2213-1/2024,"Incêndio (art. 250, caput)",31/03/2024,31/03/2024
DELEGACIA ELETRONICA 3,DK3075-4/2024,"Incêndio (art. 250, caput)",10/03/2024,18/03/2024
CPJ SANTOS,DT2171-1/2024,"Incêndio (art. 250, caput)",17/03/2024,17/03/2024
CPJ SANTOS,DR0828-1/2024,"Incêndio (art. 250, caput)",14/03/2024,15/03/2024
CPJ SANTOS,DN9648-1/2024,"Incêndio (art. 250, caput)",12/03/2024,13/03/2024
CPJ SANTOS,DM4967-2/2024,"Incêndio (art. 250, caput), Dano (art. 163), Localização/Apreensão de objeto",11/03/2024,12/03/2024
03º D.P. SANTOS,DG8685-1/2024,"Incêndio (art. 250, caput)",11/02/2024,07/03/2024
DELEGACIA ELETRONICA 3,CV5100-1/2024,"Incêndio (art. 250, caput)",23/02/2024,27/02/2024
DELEGACIA ELETRONICA 3,CI7315-2/2024,"Incêndio (art. 250, caput)",19/02/2024,25/02/2024
04º D.P. SANTOS,CJ3884-3/2024,"Furto (art. 155), Incêndio (art. 250, caput)",19/02/2024,21/02/2024
03º D.P. SANTOS,BN5438-1/2024,"Incêndio (art. 250, caput)",10/01/2024,01/02/2024
DELEGACIA ELETRONICA 3,BK1293-1/2024,"Incêndio (art. 250, caput)",23/01/2024,30/01/2024
CPJ SANTOS,AT4214-1/2024,"Incêndio (art. 250, caput)",16/01/2024,17/01/2024
03º D.P. SÃO VICENTE,KK8153-1/2024,"Incêndio (art. 250, caput)",20/07/2024,01/08/2024
03º D.P. SÃO VICENTE,KC7179-2/2024,"Homicídio (art. 121), Incêndio (art. 250, caput)",25/07/2024,25/07/2024
DEL.POL.S.VICENTE,JW9649-1/2024,"Incêndio (art. 250, caput)",22/07/2024,22/07/2024
DEL.POL.S.VICENTE,JU5622-1/2024,"Incêndio (art. 250, caput)",19/07/2024,19/07/2024
03º D.P. SÃO VICENTE,JM7798-1/2024,"Incêndio (art. 250, caput)",25/08/2023,12/07/2024
DEL.POL.S.VICENTE,IU0407-1/2024,"Incêndio (art. 250, caput)",27/06/2024,27/06/2024
03º D.P. SÃO VICENTE,ID5190-1/2024,"Incêndio (art. 250, caput)",14/06/2024,14/06/2024
DEL.POL.S.VICENTE,HM6520-1/2024,"Incêndio (art. 250, caput)",01/06/2024,01/06/2024
03º D.P. SÃO VICENTE,GK4069-1/2024,"Incêndio (art. 250, caput)",09/05/2024,09/05/2024
01º D.P. SÃO VICENTE,FG8289-1/2024,"Incêndio (art. 250, caput)",01/04/2024,16/04/2024
DEL.POL.S.VICENTE,CR6590-1/2024,"Incêndio (art. 250, caput)",26/02/2024,26/02/2024
